Date,Open,High,Low,Close,Adj Close,Volume
2019-06-07,64.129997,64.595001,63.654999,64.375000,63.924473,940200
2019-06-10,64.500000,64.800003,64.055000,64.315002,63.864895,1663800
2019-06-11,64.419998,65.195000,64.014999,65.080002,64.624542,1705400
2019-06-12,64.830002,64.855003,63.924999,64.144997,63.696079,1799800
2019-06-13,64.410004,64.410004,63.500000,63.724998,63.279022,936000
2019-06-14,63.570000,64.385002,63.535000,64.150002,63.701054,824000
2019-06-17,64.019997,64.275002,63.445000,63.525002,63.080425,1008400
2019-06-18,63.855000,64.125000,63.299999,63.404999,62.961266,1204000
2019-06-19,63.279999,63.435001,62.785000,63.325001,63.203800,1234000
2019-06-20,63.755001,64.385002,63.700001,64.379997,64.256775,998800
2019-06-21,63.900002,63.900002,62.814999,63.404999,63.283646,1213600
2019-06-24,63.450001,64.139999,63.365002,63.764999,63.642956,986800
2019-06-25,63.955002,64.000000,63.400002,63.770000,63.647945,1173600
2019-06-26,64.125000,64.250000,63.750000,63.895000,63.772709,1791800
2019-06-27,63.900002,64.470001,63.900002,64.385002,64.261772,895200
2019-06-28,64.580002,65.044998,64.230003,65.019997,64.895554,1489600
2019-07-01,65.425003,65.644997,64.790001,65.485001,65.359665,1234800
2019-07-02,65.589996,65.889999,65.000000,65.650002,65.524353,904000
2019-07-03,65.449997,65.849998,65.339996,65.654999,65.529335,419800
2019-07-05,65.690002,65.870003,64.595001,64.894997,64.770790,1354600
2019-07-08,63.825001,63.950001,63.090000,63.099998,62.979229,1810800
2019-07-09,62.849998,62.849998,62.025002,62.209999,62.090931,1925600
2019-07-10,62.750000,63.724998,62.544998,63.384998,63.263683,1949600
2019-07-11,63.474998,64.135002,63.285000,64.025002,63.902458,1142600
2019-07-12,63.750000,63.785000,62.865002,62.974998,62.854465,996800
2019-07-15,63.215000,63.570000,62.875000,62.965000,62.844486,1045800
2019-07-16,63.084999,63.110001,62.564999,62.625000,62.505138,896400
2019-07-17,62.724998,62.980000,62.430000,62.959999,62.839497,793800
2019-07-18,63.070000,63.674999,62.865002,63.540001,63.418388,1061000
2019-07-19,62.700001,62.755001,60.950001,61.680000,61.561947,2090800
2019-07-22,60.544998,60.744999,58.430000,58.750000,58.637554,3416000
2019-07-23,58.305000,58.580002,57.099998,57.654999,57.544651,4125400
2019-07-24,57.974998,58.875000,57.930000,58.424999,58.313175,1899800
2019-07-25,58.689999,58.895000,58.145000,58.205002,58.093601,1420000
2019-07-26,58.424999,58.424999,57.549999,57.580002,57.469795,1922600
2019-07-29,57.605000,57.665001,57.165001,57.500000,57.389946,1262200
2019-07-30,57.445000,57.494999,56.825001,56.950001,56.841000,1593600
2019-07-31,57.195000,57.715000,57.169998,57.490002,57.490002,2325200
2019-08-01,57.270000,58.105000,56.990002,57.290001,57.290001,1210800
2019-08-02,56.790001,57.205002,56.770000,56.910000,56.910000,1317200
2019-08-05,55.555000,55.674999,54.564999,54.720001,54.720001,2229400
2019-08-06,55.275002,56.090000,55.275002,55.895000,55.895000,1289600
2019-08-07,55.334999,56.029999,55.060001,55.459999,55.459999,2326400
2019-08-08,56.685001,57.220001,56.230000,56.294998,56.294998,2819600
2019-08-09,57.000000,57.285000,56.424999,56.435001,56.435001,1645200
2019-08-12,56.195000,56.685001,56.000000,56.490002,56.490002,801600
